"10143091|1-1- Introduction|wePUPergTeeOoETUKyrD",
"9707199|10-4- Using Triggers for Auditing|8fi93kwnR4mfwzTFcJfq",
"9707198|10-5- Events|pgr5U3OSTbW00jR26WoY",
"9707197|10-6- Viewing, Dropping and Altering Events|wUvXfm3xRlSYAxZLXn7n",
"9710684|11-1- Transactions|ruf3lOFVTjSFMjRblBCo",
"9710690|11-2- Creating Transactions|CziyLu7ATuisDZAullIH",
"9710683|11-3- Concurrency and Locking|hUozcpY0TgWOalajgbnK",
"9710689|11-4- Concurrency Problems|9g1OUcF0TLaPMJwW4cEC",
"9710687|11-5- Transaction Isolation Levels|yAITG7hiTEuKJEALGTue",
"9710688|11-6- READ UNCOMMITTED Isolation Level|G8rCeSAqRYeRp96hlfOM",
"9710691|11-7- READ COMMITTED Isolation Level|2lMQB6RP6IlwdIeu9jZw",
"9710685|11-8- REPEATABLE READ Isolation Level|dd1625ZvTsOmWGWMak2Q",
"9710686|11-9- SERIALIZABLE Isolation Level|46sk98JTfmnjyErMSqiG",
"9710692|11-10- Deadlocks|l96QpHYKT1ayaHytZ7EW",
"9780497|12-1- Introduction|nqGXJXwmQ6yEbn0UjuoG",
"9780500|12-2- String Types|DAvKiAxRGayPcXMz1uzA",
"9780492|12-3- Integer Types|BuW65TUvRoihmlWtK5z0",
"9780494|12-4- Fixed-point and Floating-point Types|lLLYsgnZREeJrGQZCAog",
"9780498|12-5- Boolean Types|h6c7J70ZTUBy1GFtUPLQ",
"9780499|12-6- Enum and Set Types|mcrK47MReOBBWfGOChPj",
"9780495|12-7- Date and Time Types|JGnJq7l3Tzaqh3zSIZQH",
"9780496|12-8- Blob Types|l6W4rCWdQAKyLAqs8PaB",
"9780493|12-9- JSON Type|ctpdVDRRKG5MefbAiolA",
"9880339|13-1- Introduction|keTf9ZURTJCOudeAChjD",
"9880355|13-2- Data Modelling|HJsdwLeqRm2MvqtVj546",
"9880358|13-3- Conceptual Models|TSNqlSwjTbqw7kyHMXZa",
"9880364|13-4- Logical Models|Yv7WurJVRlujbwLC22Qq",
"9880361|13-5- Physical Models|5HsFq7PBTADr7V7Bay3W",
"9880352|13-6- Primary Keys|iSTYBwH3SrKLGylSW3j0",
"9880351|13-7- Foreign Keys|JPy3STfSJaVyWD0TCF3H",
"9880366|13-8- Foreign Key Constraints|TxRZPabTQaWaG2B3HW3k",
"9880353|13-9- Normalization|o7XxXxC5RGSeymwGgB54",
"9880348|13-10- 1NF- First Normal Form|pOieXFBTwu4lSPVA1oUX",
"9880360|13-11- Link Tables|g71Bstb2QlyaKyfqkNr6",
"9880354|13-12- 2NF- Second Normal Form|It7zbGHlRu2obzW2Qo1D",
"9880342|13-13- 3NF- Third Normal Form|Q5nE8pqhSVyjgXLhga43",
"9880345|13-14- My Pragmatic Advice|cJlRTnTug7qz4vq0h2ge",
"9880344|13-15- Dont Model the Universe|RIXVCkKT72USfJ90b7mw",
"9880338|13-16- Forward Engineering a Model|KSSlQn6rTUKX6GDNeVOk",
"9880350|13-17- Synchronizing a Model with a Database|bgH5rOIJQJyc7AYI6eRS",
"9880356|13-18- Reverse Engineering a Database|4JOeADriQZGzuh4Jhj3D",
"9880362|13-19- Project- Flight Booking System|giDMRGzGQwuakOl8nBJR",
"9880346|13-20- Solution- Conceptual Model|bjpSmY2vQruXqvjVDiJv",
"9880363|13-21- Solution- Logical Model|82yoUzQE61yBi2RxSmw6",
"9880368|13-22- Project - Video Rental Application|5VcSflWTG2h391pnV4Q9",
"9880340|13-23- Solution- Conceptual Model|t6Eu0KzaRTefQ7aoYun0",
"9880367|13-24- Solution- Logical Model|3B3JPGKtT5iSymoTbCVD",
"9880347|13-25- Creating and Dropping Databases|f41iz5o7Qj2WAiFktNSn",
"9880365|13-26- Creating Tables|P6zEj7zTQydcjVxTXMiA",
"9880343|13-27- Altering Tables|ERvFUsLFQuWnC4QJR3sY",
"9880349|13-28- Creating Relationships|pKn0MklJTXSHZVLq0Exl",
"9880357|13-29- Altering Primary and Foreign Key Constraints|vJyiK8g5RbaJxjhEqgnE",
"9880341|13-30- Character Sets and Collations|okaZhhCTe6fdR5jRqgBJ",
"9880359|13-31- Storage Engines|zhWbO3mfTuSqxMELCT9y",
"10096054|14-1- Introduction|Ms7CHvs6Qz67FzPdX8rD",
"10096055|14-2- Indexes|OAAlsKtBTSaRrmS0Op5x",
